Campaign Name,Ad Set Name,Ad Name,Day,Impressions,Results,Amount Spent (USD),Purchase,Signup,Link Clicks,Status reasons
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-12,1507,2,33.1896,,2,13,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-30,1557,,29.7512,,,13,limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_WhiteShoe,2020-12-16,2865,5,35.5654,2,5,13,na
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-13,1563,3,32.3300,1,3,12,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-19,1790,,44.2926,1,,12,na
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-11,1421,3,30.4914,2,3,12,status check
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-18,1146,2,19.6869,2,2,11,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-19,1242,2,20.8808,1,2,11,active
Prospecting -- Signups and Purchases,WW_Interest_Cricket,HDLT_Test_Static_Cricket,2020-12-03,1264,2,80.5070,,2,11,campaign paused; limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-10,1352,1,28.5335,,1,11,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-20,1454,2,31.1719,1,2,11,limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-08,1648,,23.7938,,,11,na
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-16,1640,,25.3936,,,10,limited by budget
Prospecting -- Signups and Purchases,WW_Interest_Cricket,HDLT_Test_Static_Cricket,2020-12-01,2162,1,199.5539,,1,10,na
Retargeting Test,ALL_Retargeting_Site Visitors,Retargeting Ad,2020-12-29,29431,29431,34.3476,,,9,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-14,1481,2,30.9332,1,2,9,campaign paused; limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-21,1412,,29.8229,,,8,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-05,905,3,19.4481,1,3,8,campaign paused; limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-14,412,1,5.5396,1,1,8,campaign paused; limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-15,1387,2,30.4198,1,2,8,indc
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-29,1885,1,34.5387,,1,8,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-26,1346,,22.0150,,,7,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-09,1747,1,27.7336,,1,7,campaign paused; limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-22,914,1,13.8728,1,1,7,limited by budget
Retargeting Test,ALL_Retargeting_Signup No Purchase,Retargeting Ad,2020-12-31,2808,2638,112.4984,,,6,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-06,571,,11.1149,,,6,campaign paused; limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-18,288,,4.0353,,,6,campaign paused; limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-16,1137,,24.2594,,,6,indc
Retargeting Test,ALL_Retargeting_Signup No Purchase,Retargeting Ad,2020-12-30,2639,2470,120.6047,,,6,na
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-31,563,,16.1053,,,6,status check
